program,course_languageEn,duration,university_name,ielts,toefl,gpa,fees,college_link
bachelor of business administration (bba),english,3 years,"a c kunhumon haji memorial ica college, thrissur",6.0,92.0,0.0,650.6,https://www.collegesearch.in/colleges/a-c-kunhumon-haji-memorial-ica-college-thrissur
bachelor of engineering,english,4 years,"aalim muhammed salegh college of engineering, chennai",5.925531104850377,80.61120840630473,0.0,2650.6,https://www.collegesearch.in/colleges/aalim-muhammed-salegh-college-of-engineering-chennai
msc energy storage,english,2 years,aalto university,6.0,92.0,0.0,38000.0,https://www.ulster.ac.uk/courses/202526/energy-storage-37007
msc sustainable energy systems,english,2 years,aalto university,6.0,92.0,0.0,38000.0,https://www.ulster.ac.uk/courses/202526/energy-storage-37007
master of business administration(mba),english,2 years,"aam institute of management and research, chennai",5.925531104850377,80.61120840630473,0.0,4518.07,https://www.collegesearch.in/colleges/aam-institute-of-management-and-research-chennai
bachelor of engineering,english,4 years,"aarupadai veedu institute of technology, chennai",5.925531104850377,80.61120840630473,0.0,3614.46,https://www.collegesearch.in/colleges/aarupadai-veedu-institute-of-technology-chennai
master of business administration(mba),english,2 years,"aarupadai veedu institute of technology, chennai",5.925531104850377,80.61120840630473,0.0,1686.75,https://www.collegesearch.in/colleges/aarupadai-veedu-institute-of-technology-chennai
master of engineering,english,2 years,"aarupadai veedu institute of technology, chennai",5.925531104850377,80.61120840630473,0.0,963.86,https://www.collegesearch.in/colleges/aarupadai-veedu-institute-of-technology-chennai
certificate program in human resources,english,2 years,"abc, gurgaon",5.925531104850377,80.61120840630473,0.0,1614.46,https://www.collegesearch.in/colleges/abc-gurgaon
bachelor of technology (b.tech),english,4 years,abdul kalam institute of technology and science,5.925531104850377,80.61120840630473,0.0,2072.29,https://www.collegesearch.in/colleges/abdul-kalam-institute-of-technology-and-science
master of business administration(mba),english,2 years,abdul kalam institute of technology and science,5.925531104850377,80.61120840630473,0.0,963.86,https://www.collegesearch.in/colleges/abdul-kalam-institute-of-technology-and-science
master of technology (m.tech),english,2 years,abdul kalam institute of technology and science,5.925531104850377,80.61120840630473,0.0,1445.78,https://www.collegesearch.in/colleges/abdul-kalam-institute-of-technology-and-science
master of business administration(mba),english,2 years,"abdul quadir jeelani centre for pg studies, visakhapatnam",5.925531104850377,80.61120840630473,0.0,1084.34,https://www.collegesearch.in/colleges/abdul-quadir-jeelani-centre-for-pg-studies-visakhapatnam
bachelor of business administration (bba),english,3 years,"abeda inamdar senior college for girls, pune",5.925531104850377,80.61120840630473,0.0,650.6,https://www.collegesearch.in/colleges/abeda-inamdar-senior-college-for-girls-pune
bachelor of technology (b.tech),english,4 years,"abes engineering college, ghaziabad",5.925531104850377,80.61120840630473,0.0,3874.7,https://www.collegesearch.in/colleges/abes-engineering-college-ghaziabad
